sample,viruses within nucleus
THP90_mono_uninfected,89
THP91_mono_uninfected,90
THP92_mono_uninfected,91
THP93_mono_uninfected,92
THP94_mono_uninfected,93
THP95_mono_uninfected,94
THP96_mono_uninfected,95
THP97_mono_uninfected,96
THP98_mono_uninfected,97
THP99_mono_uninfected,98
THP100_mono_uninfected,99
THP101_mono_uninfected,100
THP102_mono_uninfected,101
THP103_mono_uninfected,102
THP104_mono_uninfected,103
THP105_mono_uninfected,104
THP106_mono_uninfected,105
THP107_mono_uninfected,106
THP108_mono_uninfected,107
THP109_mono_uninfected,108
THP110_mono_uninfected,109
THP111_mono_uninfected,110
THP112_mono_uninfected,111
THP113_mono_uninfected,112
THP114_mono_uninfected,113
THP115_mono_uninfected,114
THP116_mono_uninfected,115
THP117_mono_uninfected,116
THP118_mono_uninfected,117
THP119_mono_uninfected,118
THP120_mono_uninfected,119
THP121_mono_uninfected,120
THP122_mono_uninfected,121
THP123_mono_uninfected,122
THP124_mono_uninfected,123
THP125_mono_uninfected,124
THP126_mono_uninfected,125
THP127_mono_uninfected,126
THP128_mono_uninfected,127
THP129_mono_uninfected,128
THP130_mono_uninfected,129
THP131_mono_uninfected,130
THP132_mono_uninfected,131
THP133_mono_uninfected,132
THP134_mono_uninfected,133
THP135_mono_uninfected,134
THP136_mono_uninfected,135
THP137_mono_uninfected,136
THP138_mono_uninfected,137
THP139_mono_uninfected,138
THP140_mono_uninfected,139
THP141_mono_uninfected,140
THP142_mono_uninfected,141
THP143_mono_uninfected,142
THP144_mono_uninfected,143
THP145_mono_uninfected,144
THP146_mono_uninfected,145
THP147_mono_uninfected,146
THP148_mono_uninfected,147
THP149_mono_uninfected,148
THP150_mono_uninfected,149
THP151_mono_uninfected,150
THP152_mono_uninfected,151
THP153_mono_uninfected,152
THP154_mono_uninfected,153
THP155_mono_uninfected,154
THP156_mono_uninfected,155
THP157_mono_uninfected,156
THP158_mono_uninfected,157
THP159_mono_uninfected,158
THP160_mono_uninfected,159
THP161_mono_uninfected,160
THP162_mono_uninfected,161
THP163_mono_uninfected,162
THP164_mono_uninfected,163
THP165_mono_uninfected,164
THP166_mono_uninfected,165
THP167_mono_uninfected,166
THP168_mono_uninfected,167
THP169_mono_uninfected,168
THP170_mono_uninfected,169
THP171_mono_uninfected,170
THP172_mono_uninfected,171
THP173_mono_uninfected,172
THP174_mono_uninfected,173
